myNoise > myNoise	myNoise	https://mynoise.net/
JSON Beautifier > JSON Beautifier	JSON Beautifier	https://codebeautify.org/jsonviewer
Яндекс.Музыка > Яндекс.Музыка	Яндекс.Музыка	https://music.yandex.ru/home
Spotify > Spotify	Spotify	https://open.spotify.com/?_gl=1*4vpl4z*_gcl_aw*R0NMLjE2Mzc4MzY1MDIuQ2owS0NRaUFoZjJNQmhETkFSSXNBS1hVNUdUSFROMEY4WXo0azNHUWRKelVhX3ZLYkZoODJOMThudmtPb1ZpTXFGWTJmUEFEOXhVM2cwb2FBa2xPRUFMd193Y0I.*_gcl_dc*R0NMLjE2Mzc4MzY1MDIuQ2owS0NRaUFoZjJNQmhETkFSSXNBS1hVNUdUSFROMEY4WXo0azNHUWRKelVhX3ZLYkZoODJOMThudmtPb1ZpTXFGWTJmUEFEOXhVM2cwb2FBa2xPRUFMd193Y0I.&_ga=2.158768636.753463466.1637767249-564117761.1637767249&_gac=1.217095652.1637836506.Cj0KCQiAhf2MBhDNARIsAKXU5GTHTN0F8Yz4k3GQdJzUa_vKbFh82N18nvkOoViMqFY2fPAD9xU3g0oaAklOEALw_wcB
AdGuard > AdGuard	AdGuard	https://adguard.info/ru/welcome.html
Bybit > Bybit	Bybit	https://www.bybit.com/en/
roadmap.sh > roadmap.sh	roadmap.sh	https://roadmap.sh/
СашQA Dashboard > СашQA Dashboard	СашQA Dashboard	http://sashka-frontend.stellar.detmir-infra.ru/home
Генератор промптов > Генератор промптов > Генератор промптов	Генератор промптов	https://neuralwriter.com/ru/prompt-tool/
Qwen > Qwen > Qwen	Qwen	https://chat.qwenlm.ai/?spm=5aebb161.3bc5a6d3.0.0.55e45171F6Ha0g
ChatGPT > ChatGPT > ChatGPT	ChatGPT	https://chatgpt.com/
Open AI WebUI > Open AI WebUI > Open AI WebUI	Open AI WebUI	https://gpt.detmir.team/
DeepSeek > DeepSeek > DeepSeek	DeepSeek	https://chat.deepseek.com/
Code Wiki > Code Wiki > Code Wiki	Code Wiki	https://codewiki.google/
