frameworks	spring/spring-aop-interview.md	2026-04-28	cheatsheets/interview/frameworks/spring/spring-aop-interview.md
ai-ml	embeddings-interview.md	2026-05-09	cheatsheets/interview/ai-ml/embeddings-interview.md
ai-ml	llm-integration-patterns-interview.md	2026-05-09	cheatsheets/interview/ai-ml/llm-integration-patterns-interview.md
ai-ml	mlops-interview.md	2026-05-09	cheatsheets/interview/ai-ml/mlops-interview.md
algorithms	algorithmic-paradigms/backtracking-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/backtracking-interview.md
algorithms	algorithmic-paradigms/divide-and-conquer-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/divide-and-conquer-interview.md
algorithms	algorithmic-paradigms/dynamic-programming-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/dynamic-programming-interview.md
algorithms	algorithmic-paradigms/greedy-algorithms-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/greedy-algorithms-interview.md
algorithms	algorithmic-paradigms/recursion-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/recursion-interview.md
algorithms	algorithmic-paradigms/two-pointers-sliding-window-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithmic-paradigms/two-pointers-sliding-window-interview.md
algorithms	algorithms-interview.md	2026-05-09	cheatsheets/interview/algorithms/algorithms-interview.md
algorithms	data-structures/stacks-queues-interview.md	2026-05-09	cheatsheets/interview/algorithms/data-structures/stacks-queues-interview.md
algorithms	data-structures/tries-interview.md	2026-05-09	cheatsheets/interview/algorithms/data-structures/tries-interview.md
algorithms	sorting-searching/searching-algorithms-interview.md	2026-05-09	cheatsheets/interview/algorithms/sorting-searching/searching-algorithms-interview.md
algorithms	sorting-searching/sorting-algorithms-interview.md	2026-05-09	cheatsheets/interview/algorithms/sorting-searching/sorting-algorithms-interview.md
api	api-versioning-interview.md	2026-05-09	cheatsheets/interview/api/api-versioning-interview.md
architecture	bff-pattern-interview.md	2026-05-09	cheatsheets/interview/architecture/bff-pattern-interview.md
architecture	caching-strategies-interview.md	2026-05-09	cheatsheets/interview/architecture/caching-strategies-interview.md
architecture	cap-theorem-interview.md	2026-05-09	cheatsheets/interview/architecture/cap-theorem-interview.md
architecture	consistency-patterns-interview.md	2026-05-09	cheatsheets/interview/architecture/consistency-patterns-interview.md
architecture	ddd-interview.md	2026-05-09	cheatsheets/interview/architecture/ddd-interview.md
architecture	distributed-systems-interview.md	2026-05-09	cheatsheets/interview/architecture/distributed-systems-interview.md
architecture	event-driven-patterns-interview.md	2026-05-09	cheatsheets/interview/architecture/event-driven-patterns-interview.md
architecture	microservices-interview.md	2026-05-09	cheatsheets/interview/architecture/microservices-interview.md
architecture	networking-interview.md	2026-05-09	cheatsheets/interview/architecture/networking-interview.md
architecture	resilience-patterns-interview.md	2026-05-09	cheatsheets/interview/architecture/resilience-patterns-interview.md
architecture	scalability-patterns-interview.md	2026-05-09	cheatsheets/interview/architecture/scalability-patterns-interview.md
behavioral	conflict-stories-interview.md	2026-05-09	cheatsheets/interview/behavioral/conflict-stories-interview.md
behavioral	failure-stories-interview.md	2026-05-09	cheatsheets/interview/behavioral/failure-stories-interview.md
behavioral	leadership-stories-interview.md	2026-05-09	cheatsheets/interview/behavioral/leadership-stories-interview.md
behavioral	star-method-interview.md	2026-05-09	cheatsheets/interview/behavioral/star-method-interview.md
cicd	deployment-strategies-interview.md	2026-05-09	cheatsheets/interview/cicd/deployment-strategies-interview.md
cloud	aws-lambda-interview.md	2026-05-09	cheatsheets/interview/cloud/aws-lambda-interview.md
cloud	azure-interview.md	2026-05-09	cheatsheets/interview/cloud/azure-interview.md
cloud	cloud-native-patterns-interview.md	2026-05-09	cheatsheets/interview/cloud/cloud-native-patterns-interview.md
cloud	gcp-interview.md	2026-05-09	cheatsheets/interview/cloud/gcp-interview.md
cloud	serverless-interview.md	2026-05-09	cheatsheets/interview/cloud/serverless-interview.md
code-quality	clean-code-practices-interview.md	2026-05-09	cheatsheets/interview/code-quality/clean-code-practices-interview.md
code-quality	code-coverage-interview.md	2026-05-09	cheatsheets/interview/code-quality/code-coverage-interview.md
code-quality	code-review-interview.md	2026-05-09	cheatsheets/interview/code-quality/code-review-interview.md
code-quality	code-smells-interview.md	2026-05-09	cheatsheets/interview/code-quality/code-smells-interview.md
code-quality	refactoring-patterns-interview.md	2026-05-09	cheatsheets/interview/code-quality/refactoring-patterns-interview.md
code-quality	static-analysis-interview.md	2026-05-09	cheatsheets/interview/code-quality/static-analysis-interview.md
code-quality	technical-debt-interview.md	2026-05-09	cheatsheets/interview/code-quality/technical-debt-interview.md
data-engineering	apache-flink-interview.md	2026-05-09	cheatsheets/interview/data-engineering/apache-flink-interview.md
data-engineering	apache-spark-interview.md	2026-05-09	cheatsheets/interview/data-engineering/apache-spark-interview.md
data-engineering	dbt-interview.md	2026-05-09	cheatsheets/interview/data-engineering/dbt-interview.md
data-engineering	kafka-streams-interview.md	2026-05-09	cheatsheets/interview/data-engineering/kafka-streams-interview.md
data-engineering	stream-processing-interview.md	2026-05-09	cheatsheets/interview/data-engineering/stream-processing-interview.md
databases	cassandra-interview.md	2026-05-09	cheatsheets/interview/databases/cassandra-interview.md
databases	clickhouse-interview.md	2026-05-09	cheatsheets/interview/databases/clickhouse-interview.md
databases	cockroachdb-interview.md	2026-05-09	cheatsheets/interview/databases/cockroachdb-interview.md
databases	database-architecture-interview.md	2026-05-09	cheatsheets/interview/databases/database-architecture-interview.md
